ts;person Id;event
1357146272.0;Up30;OUT
1357146315.0;Up11;OUT
1357146359.0;Up28;OUT
1357146480.0;Up77;OUT
1357146998.0;Up116;OUT
1357147008.0;Up20;OUT
1357147103.0;Up67;OUT
1357147490.0;Up54;OUT
1357147753.0;Up45;OUT
1357147833.0;Up86;OUT
1357147943.0;Up50;OUT
1357147993.0;Up22;OUT
1357148062.0;Up112;OUT
1357148072.0;Up131;OUT
1357148170.0;Up123;OUT
1357148176.0;Up35;OUT
1357148362.0;Up37;OUT
1357148445.0;Up102;IN
1357148530.0;Up33;OUT
1357148535.0;Up19;OUT
1357148823.0;Up127;OUT
1357149037.0;Up117;OUT
1357149226.0;Up119;OUT
1357149463.0;Up57;OUT
1357149500.0;Up99;OUT
1357149509.0;Up52;OUT
1357149568.0;Up132;OUT
1357149683.0;Up69;OUT
1357149799.0;Up20;IN
1357149897.0;Up74;OUT
1357149954.0;Up71;OUT
1357150178.0;Up40;OUT
1357150410.0;Up122;OUT
1357150833.0;Up110;OUT
1357150885.0;Up135;IN
1357151207.0;Up94;OUT
1357151562.0;Up135;OUT
1357152108.0;Up18;OUT
1357152588.0;Up23;OUT
1357152723.0;Up20;OUT
1357152730.0;Up24;OUT
1357152848.0;Up41;OUT
1357152980.0;Up10;OUT
1357153083.0;Up92;OUT
1357153289.0;Up26;OUT
1357153408.0;Up133;OUT
1357153640.0;Up44;OUT
1357153728.0;Up64;OUT
1357154456.0;Up75;OUT
1357154715.0;Up34;OUT
1357155758.0;Up91;OUT
1357155860.0;Up53;OUT
1357156024.0;Up93;OUT
1357156053.0;Up55;OUT
1357156726.0;Up29;OUT
1357157075.0;Up105;OUT
1357157279.0;Up125;OUT
1357157453.0;Up6;OUT
1357157619.0;Up58;OUT
1357157782.0;Up72;OUT
1357157833.0;Up43;OUT
1357158494.0;Up106;OUT
1357159600.0;Up46;OUT
1357160266.0;Up95;OUT
1357171125.0;Up8;IN
1357171690.0;Up5;OUT
1357197214.0;Up10;IN
1357197593.0;Up11;IN
1357198583.0;Up1;IN
1357198697.0;Up2;IN
1357198784.0;Up13;IN
1357198894.0;Up13;OUT
1357199062.0;Up136;IN
1357199208.0;Up137;IN
1357199320.0;Up74;IN
1357199678.0;Up14;IN
1357200468.0;Up15;IN
1357200584.0;Up8;OUT
1357200967.0;Up18;IN
1357200998.0;Up138;IN
1357201045.0;Up47;IN
1357201066.0;Up10;OUT
1357201107.0;Up139;IN
1357201126.0;Up43;IN
1357201169.0;Up45;IN
1357201238.0;Up140;IN
1357201446.0;Up30;IN
1357201591.0;Up123;IN
1357201783.0;Up141;IN
1357202083.0;Up86;IN
1357202415.0;Up33;IN
1357202472.0;Up122;IN
1357202704.0;Up142;IN
1357202780.0;Up143;IN
1357202811.0;Up144;IN
1357202914.0;Up145;IN
1357203133.0;Up58;IN
1357203195.0;Up146;IN
1357203310.0;Up25;IN
1357203408.0;Up147;IN
1357203410.0;Up148;IN
1357203472.0;Up37;IN
1357203525.0;Up26;IN
1357203593.0;Up57;IN
1357203596.0;Up149;IN
1357203659.0;Up28;IN
1357203694.0;Up25;OUT
1357203727.0;Up40;IN
1357203767.0;Up150;IN
1357203785.0;Up151;IN
1357203879.0;Up27;IN
1357203904.0;Up20;IN
1357203947.0;Up23;IN
1357203984.0;Up34;IN
1357203984.0;Up85;IN
1357204327.0;Up152;IN
1357204468.0;Up153;IN
1357204585.0;Up4;IN
1357204642.0;Up154;IN
1357204725.0;Up155;IN
1357204735.0;Up79;IN
1357204830.0;Up156;IN
1357205046.0;Up157;IN
1357205059.0;Up118;IN
1357205076.0;Up98;IN
1357205078.0;Up158;IN
1357205131.0;Up159;IN
1357205174.0;Up96;IN
1357205240.0;Up53;IN
1357205346.0;Up73;IN
1357205352.0;Up160;IN
1357205461.0;Up71;IN
1357205483.0;Up55;IN
